| Epoch: 134/999999 (1/1) | Loss: 10.0651 | 2.0 steps/s | Step: 0k | 
| Epoch: 135/999999 (1/1) | Loss: 10.1767 | 2.0 steps/s | Step: 0k | 
| Epoch: 136/999999 (1/1) | Loss: 10.1126 | 2.7 steps/s | Step: 0k | 
| Epoch: 137/999999 (1/1) | Loss: 9.9590 | 2.8 steps/s | Step: 0k | 
| Epoch: 138/999999 (1/1) | Loss: 9.8331 | 2.3 steps/s | Step: 0k | 
| Epoch: 139/999999 (1/1) | Loss: 9.6804 | 2.3 steps/s | Step: 0k | 
| Epoch: 140/999999 (1/1) | Loss: 9.6794 | 2.4 steps/s | Step: 0k | 
| Epoch: 141/999999 (1/1) | Loss: 9.6499 | 2.3 steps/s | Step: 0k | 
| Epoch: 142/999999 (1/1) | Loss: 9.6168 | 2.2 steps/s | Step: 0k | 
| Epoch: 143/999999 (1/1) | Loss: 9.8269 | 2.1 steps/s | Step: 0k | 
| Epoch: 144/999999 (1/1) | Loss: 9.3734 | 2.5 steps/s | Step: 0k | 
| Epoch: 145/999999 (1/1) | Loss: 10.2868 | 2.1 steps/s | Step: 0k | 
| Epoch: 146/999999 (1/1) | Loss: 10.1891 | 2.3 steps/s | Step: 0k | 
| Epoch: 147/999999 (1/1) | Loss: 9.6216 | 2.2 steps/s | Step: 0k | 
| Epoch: 148/999999 (1/1) | Loss: 9.4889 | 2.4 steps/s | Step: 0k | 
| Epoch: 149/999999 (1/1) | Loss: 9.0951 | 2.5 steps/s | Step: 0k | 
| Epoch: 150/999999 (1/1) | Loss: 9.8031 | 2.5 steps/s | Step: 0k | 
| Epoch: 151/999999 (1/1) | Loss: 9.9483 | 1.8 steps/s | Step: 0k | 
| Epoch: 152/999999 (1/1) | Loss: 9.5451 | 2.1 steps/s | Step: 0k | 
| Epoch: 153/999999 (1/1) | Loss: 9.7550 | 2.0 steps/s | Step: 0k | 
| Epoch: 154/999999 (1/1) | Loss: 9.8234 | 2.0 steps/s | Step: 0k | 
| Epoch: 155/999999 (1/1) | Loss: 10.2891 | 2.1 steps/s | Step: 0k | 
| Epoch: 156/999999 (1/1) | Loss: 10.2104 | 2.5 steps/s | Step: 0k | 
| Epoch: 157/999999 (1/1) | Loss: 9.9058 | 2.3 steps/s | Step: 0k | 
| Epoch: 158/999999 (1/1) | Loss: 9.4682 | 2.1 steps/s | Step: 0k | 
| Epoch: 159/999999 (1/1) | Loss: 9.6668 | 1.9 steps/s | Step: 0k | 
| Epoch: 160/999999 (1/1) | Loss: 9.5132 | 2.5 steps/s | Step: 0k | 
| Epoch: 161/999999 (1/1) | Loss: 9.8067 | 1.9 steps/s | Step: 0k | 
| Epoch: 162/999999 (1/1) | Loss: 10.0999 | 2.2 steps/s | Step: 0k | 
| Epoch: 163/999999 (1/1) | Loss: 9.3962 | 2.2 steps/s | Step: 0k | 
| Epoch: 164/999999 (1/1) | Loss: 9.8444 | 2.6 steps/s | Step: 0k | 
| Epoch: 165/999999 (1/1) | Loss: 10.0066 | 2.0 steps/s | Step: 0k | 
| Epoch: 166/999999 (1/1) | Loss: 10.0766 | 2.3 steps/s | Step: 0k | 
| Epoch: 167/999999 (1/1) | Loss: 9.7911 | 2.5 steps/s | Step: 0k | 
| Epoch: 168/999999 (1/1) | Loss: 9.6805 | 2.0 steps/s | Step: 0k | 
| Epoch: 169/999999 (1/1) | Loss: 9.4346 | 2.4 steps/s | Step: 0k | 
| Epoch: 170/999999 (1/1) | Loss: 9.5087 | 2.1 steps/s | Step: 0k | 
| Epoch: 171/999999 (1/1) | Loss: 9.5111 | 2.1 steps/s | Step: 0k | 
| Epoch: 172/999999 (1/1) | Loss: 9.4334 | 2.2 steps/s | Step: 0k | 
| Epoch: 173/999999 (1/1) | Loss: 9.3916 | 2.5 steps/s | Step: 0k | 
| Epoch: 174/999999 (1/1) | Loss: 9.4879 | 2.1 steps/s | Step: 0k | 
| Epoch: 175/999999 (1/1) | Loss: 9.4020 | 1.9 steps/s | Step: 0k | 
| Epoch: 176/999999 (1/1) | Loss: 9.5876 | 2.4 steps/s | Step: 0k | 
| Epoch: 177/999999 (1/1) | Loss: 9.4108 | 2.3 steps/s | Step: 0k | 
| Epoch: 178/999999 (1/1) | Loss: 9.5767 | 2.3 steps/s | Step: 0k | 
| Epoch: 179/999999 (1/1) | Loss: 9.4508 | 2.3 steps/s | Step: 0k | 
| Epoch: 180/999999 (1/1) | Loss: 9.8046 | 2.1 steps/s | Step: 0k | 
| Epoch: 181/999999 (1/1) | Loss: 9.6651 | 2.5 steps/s | Step: 0k | 
| Epoch: 182/999999 (1/1) | Loss: 9.2291 | 2.4 steps/s | Step: 0k | 
| Epoch: 183/999999 (1/1) | Loss: 9.3717 | 2.0 steps/s | Step: 0k | 
